time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
14,243712,211,0.122309,135,0.80260205,0.0755859375,57.61048126220703,0.01087533,0.10204845666885376,1180,0.0001,-0.009052935434738174,1.0880719423294067,100.4793054819107,0.2,-43.58206162452698
15,245760,226,0.122133695,135,-1.5047243,0.187451171875,36.01071548461914,0.017623723,0.02352440357208252,1190,0.0001,-0.012306457862723618,1.0890299081802368,91.82971614599228,0.2,-43.59892716407776
1,247808,14,0.12243368,141,0.45061812,0.11787109375,5.569201469421387,0.015680764,0.3442304730415344,1200,0.0001,-0.01065699696628144,1.0896588563919067,12.064589124917983,0.2,-43.62131097316742
2,249856,28,0.122705355,143,-0.48367235,0.110546875,25.1984806060791,0.01643367,0.12570428848266602,1210,0.0001,-0.008759144284704234,1.091387152671814,67.83802219629288,0.2,-43.65133421421051
3,251904,43,0.12295605,141,4.6195726,0.172607421875,14.9885892868042,0.016985748,0.10866230726242065,1220,0.0001,-0.008841863335692323,1.0924084186553955,69.05910310745239,0.2,-43.68669459819794
4,253952,57,0.123027,142,-0.53614473,0.09072265625,10.880257606506348,0.013572119,0.18625301122665405,1230,0.0001,-0.011584480752935633,1.0926648378372192,21.649746036529542,0.2,-43.705065631866454
5,256000,72,0.123364106,140,-0.82419413,0.112548828125,25.438899993896484,0.014053756,0.09835988283157349,1240,0.0001,-0.008838212335831486,1.0927236080169678,73.95101210474968,0.2,-43.710664415359496
6,258048,86,0.123846754,141,-0.6044167,0.0923828125,45.35422897338867,0.012123853,0.11539071798324585,1250,0.0001,-0.008679416043014499,1.0932939052581787,87.06380398273468,0.2,-43.71778657436371
7,260096,101,0.12381441,141,0.039692886,0.119677734375,28.297109603881836,0.012168294,0.02944004535675049,1260,0.0001,-0.009110206313198432,1.094382882118225,99.69687933921814,0.2,-43.73806474208832
8,262144,115,0.123924606,142,0.47282323,0.09091796875,7.2868876457214355,0.009020407,0.04578816890716553,1270,0.0001,-0.007543176304898225,1.0949881076812744,15.093194907903671,0.2,-43.76093521118164
9,264192,132,0.12431406,139,0.8496861,0.078662109375,58.341590881347656,0.00949732,0.06324392557144165,1280,0.0001,-0.010028620125376619,1.0957168340682983,67.34198288917541,0.2,-43.782634472846986
10,266240,149,0.12457901,137,5.143609,0.0849609375,37.16423034667969,0.010574364,0.11092573404312134,1290,0.0001,-0.00929007725790143,1.0957667827606201,82.35129891633987,0.2,-43.789805340766904
11,268288,164,0.124677904,136,-0.93387824,0.1396484375,11.802364349365234,0.016059209,0.189672589302063,1300,0.0001,-0.009379408588574733,1.0959665775299072,23.349170738458632,0.2,-43.795700550079346
12,270336,178,0.1250494,137,0.92026484,0.132421875,20.672792434692383,0.013996323,0.13244205713272095,1310,0.0001,-0.016911116409755778,1.0963730812072754,71.96761140823364,0.2,-43.801005244255066
13,272384,193,0.1253102,137,-0.20935339,0.140869140625,35.91188049316406,0.017232433,0.11049026250839233,1320,0.0001,-0.011352155345957727,1.0973610877990723,106.50678601264954,0.2,-43.81788454055786
